Zarhkhat ah voi zei zat dah na haa naa ṭeih?	How often do you brush your teeth (weekly)?
Zarhkhat ah voi zei zat dah na hakar naa coih?	How often do you floss?
Haa fak silo le ha zaa na ngei bal maw?	Do you ever have pain or sensitivity in any of your teeth?
Suimilam zei zat ah dah an in ching?	What time is your appointment?
Kuak na zu bal maw?	Have you ever smoked cigarettes?
Na pa rian zei dah a si?	What is your father's occupation?
Na nu rian zei dah a si?	What is your mother's occupation?
Na nulepa an i ṭhen maw?	Did your parents divorce?
Na pa le nangmah nan i pehtlaihning kan chim.	Describe your father and your relationship with him.
Na nu le nangmah nan i pehtlaihning kan chim.	Describe your mother and your relationship with her.
Zei can dah atu na rian hi na ttuan cang?	How long have you held your present position?
Ralkap ah na lut bal maw?	Have you ever served in the military?
Biaknak phun pakhat khat ah na um maw?	Do you belong to a particular religion or spiritual group?
Theihter duh mi na kan ngeih mi a um maw?	Is there anything else you would like us to know?
Zei bantuk rian dah na sok?	What position are you applying for?
Zei tik ah dah na thok khawh lai?	What is your available start date?
Hi ka campani ah hin na ttuan bal maw?	Have you ever worked for this company?
Rian na ṭuan belnak zei dah an si?	What is your employment history?
Zarhkhat ah ni zeizat dah na ṭuan khawh lai?	How many hours can you work weekly?
Hi rian hi tlamtling tein na ṭuan kho lai maw?	Can you perform the essential functions of this job with or without reasonable accomodation?
Atu na ṭuannak kampani kan chawn kho hna maw?	May we contact your present employer?
Hika hin rian na sok bal maw?	Have you ever applied here before?
Kum 18 silo le a cunglei na si maw?	Are you 18 years of age or older?
Hi rian kong hi khoi ka ah dah na theih?	Where did you hear about this job?
Zei tik ah dah bia hal na manh lai?	When are you available for an interview?
Ka pawngkam ah zei rawl einak hmun dah a um?	What restaurants are in my area?
Khoi ka ah dah lakphakti dawr aa neih bik?	Where is the closest coffeeshop?
Khoi ka ah dah hma tuamnak ka cawk khawh lai?	Where can I buy bandaids?
Zei tiin dah eidin cawknak dawr ka phak lai?	How do I get to the grocery store?
A lam na ka chim kho hnga maw?	Can you give me directions?
Zei bantuk nikhua dah tuni a si lai?	What will the weather be like today?
Angkileng kaa aih hnga maw?	Should I wear a jacket?
Tuni ruah a sur lai maw?	Is it going to rain today?
Aa neih biknak sizung zei tiin dah ka phak lai?	How do I get to the closest hospital?
Palik khawl hna.	call the police
Thaizing tuah ding na ngei maw?	Do you have plans tomorrow?
Na paw a ṭam maw?	Are you hungry?
Gas station in kehlei ah pial.	Take a left turn at the gas station.
A kalnak ding lam ka thei lo.	I don't know where he is going.
Hi uico cu a lian.	This dog is big
Hi uico nih hin chizawh a dawi.	This dog is cha sing a cat
Kha cauk kha ka uar hna.	like those books
Khi chizawh raang khi duh a nung.	That white cat over there is cute
A kal mi cu an tampi.	There are a lot of people who went
Na phone cu kha kaa cabuai ah khan a um	Your phone is on that desk by you
Cu video cu zoh a nuam ngai lai	that video (movie) sounds good
Peng cu a it cang	Peng started to sleep
Cabuai cung ah cauk a um mi cu a sen	The book on the desk is red
Eek naa lamh lai	You are about to step in dung
Kan tuah hna lai	We will do it.
a si hnga lo maw	Wouldn't it be this way.
ka hnakhaw ah hma a um	There is a wound on my ear
Araang mi a si	This is white
Ka raang	I'm white.
Mah chizawh hi a raang mi a si	This cat is white
Hi chizawh pawl cu an raang	These cats are white
Mah chizawh pawl hi an tar tuk cang	The cats are old
Mah chizawh pawl khi an tar tuk	Those cats are old
Mah chizawh pawl hi a nak mi an si	Those cats are black.
Nangmah hngak in ka upa deuh	I am older than you.
Bawibawi cu a it cang	Bawi started sleeping.
Kan it bak ah fawn a awn	When we just started sleeping, the phone rang.
Bawibawi nih Chinchin a ih ter	Bawi made Chin go to sleep.
Mah pa hi sibawi a si	This man is a doctor.
Kei mah nih kaan hmuh	It is I who saw you.
Nang mah kaan hmuh	It is you who I saw.
A mah nih aan hmuh	It is he who saw you.
Uico nih chizawh adawi	The dog chased the cat.
Chizawh nih uico adawi	THe cat chased the dog.
Uico pawl nih chizawh an dawi	The dogs chased the cat.
Uico nih chizawh pawl an dawi hna	The dogs chased the cats.
Amah lawng a kal	Only she went.
Kei mah nih pei ka'n hmuh cu	It is only I who saw you
Kei mah lawng nih ka'n hmuh	Only I saw you
Ceuceu lawng nih aan hmuh	Only Ceu saw you.
Ceuceu nih a hmuh lawng aan hmuh	Ceu only saw you.
Tii ka pek	I gave him water.
Bawibawi cauk ka pek	I gave Bawi a book.
Chinchin cu cauk a pek	He gave Chin a book
Chinchin cu cauk ka pek lai	I will give Chn a book.
Chinchin cu cauk an pek	Chinchin was given a book/They gave chin a book
 A cauk cu Chinchin a pek	He gave his book to Chin
Bawibawi nih Chinchin cauk cu midang sinah a pek hna	Bawi gave Chin's books away
Bawibawi cu Chinchin cauk ka pek	I gave Bawi Chin's book.
Khoi ka ah dah caw na hren?	Where did you tie the cow?
Zei ruang ah dah caw na hren?	Why did you tie the cow?
Zei tik ah dah caw na hren?	When did you tie the cow
Aho nih dah caw a hren?	Who tied the cow?
Muṭhai aan pek	He gave you a candy
Muṭhai an pek	They gave him a candy
Muṭhai a pek hna	He gave them a candy
Muṭhai an in pek	They gave you a candy
Muṭhai kan in pek	We gave you a candy
Muṭhai nan kan pek	Y'all gave us a candy
Kaan tuk hna	I hit y'all
Kaan tuk hna lai	I am going to hit y'all
An in tuk	They hit you
An in tuk lai	They are going to hit you
Hngakchia pa nih na nu a puk	The boy kissed your mom
Hngakchia pa nih na nu a puk lai	The boy is going to kiss your mom
Na nu nih hngakchia pa a tuk	Your mom hit the boy
Na nu nih hngakchia pa a tuk lai	Your mom is going to hit the boy
Fung in na tuk hna	You hit them with a stick
Fung in na tuk hna lai	You are going to hit them with a stick
Amah nu nih muṭhai a ka pek	She gave me a candy
Zei bantuk muṭthai dah na nu nih aan pek?	What kind of candy did your mom give you?
Kha uico nih khan chizawh kha a dawi	the dog chased the cat
Uico nih chizawh raang pahnih a dawi hna	the dog is cha sing two white cats
Zawng aa ṭhang	the monkey woke up
Nizaan ah zawng a tho	the monkey woke up yesterday
Nikum ah mipa nih inn a sak	last year a man built a house
Nizaan ah a tho mi zawng cu a fate	the monkey who woke up yesterday is small
Zawng cu an fa	monkey are small
Tunai i a tho mi zawng cu a fa	the monkey who just woke up is small
Indiana ah kan hnuzarh khual ka tlawng	I traveled to Indiana last week
Kan hnuzarh in changreu zeihmanh kan ngei ti lo	we do not have bread after last week
Kan hnuzarh in changreu ka ngei lo	I did not have bread last week
Hmai kum ah Abawi nih inn a sak te lai	next year Abawi will build a house
Hmaizarh ah sianginn kai ka dih lai	next week I will finish school
Kam Lo nih hmaizarh ah inn a sak lai	Kam Lo will build a house next week
Rawl ka ei hnu ah ka it te lai	After I eat I will go to bed
Kan hnuzarh hnu in changreu zeihmanh ka ngei ti lo	after last week I didn’t have bread
Zarh hnih hnu in Laitlang ka chuah tak lai	after two weeks I will leave Chinland
Hai na ei bel maw?	have you ever eaten a mango
Hai na ei maw?	Did you eat mango
Nizaan ah cauk ka rel	I read a book yesterday
A hlan lio pi ah, mipa nih inn a sak	A long time ago, the man built the house
Ka ṭhi ka thlak	I dropped my necklace
Ca ka ṭial	I wrote
Bawlung a ril	the soccer ball was rolling
Thli a hrang tuk	it's very windy
Ngaikuang tampi ka tleih hna	I caught a lot of lobsters
Mifir pa a hrem	he punished a thief
Ka thangṭhat	I worshipped
Kathaw ka chuah	I breathed out
Ka cil ka chaak	I spit
Zuri pa a tlu	a drunk fell over
Ti a thlet	he spilled the water
Ka tli	I ran
Thil aa hruk	he wore clothes
Ka dir	I stood up
A hawipa a hlen	he lied to his friend
Ka remh	I fixed it
Ka hawipa ka ṭhangh	I woke up my friend
Thungkung ka cing	I planted a tree
Hla ka sa	I sang a song
Bawlung a hrilh	he rolled the ball
Buh cu a thaw tuk	the rice is delicious
Ti a tle	the water spilled
Hngakchiapa aa ṭhang nain a mit a ku rih ko	the child woke up but was still sleepy
Kutka aa on ruangah a va khar	because the door opened he closed it
Thlalangawng a khuai tih?	he shattered the window, didn’t he?
Thlalangawng a khar maw?	did he shut the window?
A kedan a tla nain a zei a poi lo	his sandals fell but he didn’t care
Thlalangawng a khuai maw?	did he shatter the window?
Hri a poih nain a zei a poi lo	the rope came untied but he didn’t care
Saveh a tlau i hngakchiapa a ṭap	the rabbit disappeared and the child cried
Kutka aa ong nain ho hmanh an rak lut lo	the door opened but no one came in
Amah pa kha a bah ruangah a ṭap	because he tripped he cried
A inn a kangh ruangah a ṭap	because his house burned down he cried
A kedan a kiak nain a zei a poi lo	his sandals snapped but he didn’t care
Bawlung a ril nain uico nih a dawi lo	the ball was rolling but the dog didn’t chase it
Kutka na ong maw?	did you open the door?
A kedan a tlak ruangah a ṭap	because his sandals fell he cried
Thlalangawng a kuai nain a zei a poi lo	the window shattered but he didn’t care
Kutka a on tih?	he opened the door, didn’t he?
A ke a bei ruangah a ṭap	because he was limping he cried
Thlalangawng a khar tih?	he shut the window, didn’t he?
A ke a bei nain a zei a poi lo	he was limping but he didn’t care
Thingkung a hau maw?	did he cut down the tree?
Amah pa nih kedan a khiah tih?	he snapped the sandal, didn’t he?
Hngakchiapa aa ṭhang hnu in rawl a ei	after the child woke up, he ate
Hri a phoih maw?	did he untie the rope?
Hngakchiapa a ṭhangh tih?	he woke the child up, didn’t he?
Amah pa nih inn a khaang maw?	did he burn the house down?
Thlalangawng a kuai ruangah ah ṭap	because the window shattered he cried
Bawlung a hrilh maw?	did he roll the ball?
Amah pa nih inn a khangh tih?	he burned the house down, didn’t he?
A suimilam a thla maw?	did he drop his watch?
Hri a poih ruangah amah pa nih a hrenh ṭhan	because the rope came untied he tied it again
Hngakchiapa a ṭhangh maw?	did he wake up the child?
A cafung a kiah ruangah a ṭap	because his pencil snapped he cried
An inn a kaang nain a zei a poi lo	His house burned down but he didn’t care
Bawlung a rilh ruangah uico nih a dawi	because the ball was rolling the dog chased it
Amah pa nih cafung a khiak maw?	did he snap the pencil?
A cafung a thlak tih?	he dropped his pencil, didn’t he?
Saveh a tlau ruangah hngakchiapa a ṭap	because the rabbit disappeared the child cried
Bawlung a hrilh tih?	he rolled the ball, didn’t he?
Thingkung a hau tih?	he cut down the tree, didn’t he?
Hri a phoih tih?	he untied the rope, didn’t he?
Ka pa lo ah a kal	my father goes to the field
A holh a aa	he/she stammers
A tar hnu cun a lung a molh ngai cang	after getting old, his mind is quite dumb
A ka a aang kho lo	he cannot open his mouth
Inn ah a um	he stays at home
Sianginn a kai	he goes to school
Thlalang kuai nih a ka ah	a piece of broken glass cuts me
Changreu cu namte in kan at	we slice bread with a knife
Na rat khawh ah cun kan ii lawm ngai hnga	we shall be happy if you can come
A ho hmanh nan ra kho lo	no one can come/no one is allowed to come
Tonnak ah a kan ai awh lai	he will represent us at the meeting
A kaa aa aang i a ka zoh	he looked at me with his open mouth
Tangka kha amah sinah ka ap cang	I have handed over the money to him
A arsik nih a hloh ve ko khih!	his acnes are killing him (i.e. make him ugly) !
Rawl hrawn a ka au duh lo	he does not want to invite me for dinner
Na au tuk ruangah nau na ṭhangh	you woke up the baby because you shouted too much
Na vok kha au ter tuk hlah	don't let your pig make too much noise
Na mit au tuah	open your eyes please!
Ka pu le nih rawl hrawn an ka auh	my in-laws invited me for a dinner
Vanpang ah ong pakhat a um	there is a hole in the wall
Caminpuai a awng	he passes the examination
Na nau kha awi tuah	rock your baby to sleep
Nangmah ca lawng si ka duh	I would like to be just for you
A ke a fah caah a tli kho lo	he cannot run on account of the pain in his leg
Cabawm cu cakuat nak ah kan hman	we used envelope to send letters
Na ngalruh a cang tuk	your shin bone is too hard
Inn ah a ṭin cang	he had already gone home
Lo ah ka kal cang lai	I am going to go to the field now
Thingkung in ka tla i tlawmpal cu ka cong	fell from the tree and I was unconscious for a moment
Ruah a sur i inn chungah cangpang kawm kan puah	because it was raining we made popcorn inside
Nan lo lam cu caangvat an tam tuk	there are too many leeches in the way to your farm
Ka pa cu a tar hnuah a cal a ngau	my father got a bald head after he got old
Kanu thla a cam	my mother is praying
Pasator nih thla a kan cam piak	the pastor prayed for us
Nitlang ah ka pi nih la a car	my grandmother dried cotton in the sun
Ca ka ṭial lioah hna ka hnawh hlah	do not bother me while I am writing
Sizung ah mizaw ka zohkhenh	I am looking after a sick person at the hospital
Leiba a ka cawh	demands of me of the debt I owe him
Zung ah phaisa an cawiter	they let him pay fines at the court
Ka pa nih inn a ka cawk piak	my father bought a house for me
Ka ba tuk i ka cawl kho sasai lo	I was so tired that I cannot make any movement
Na cawl tuk ahcun ihkhun in na tla te lai	you will fall from the bed if you move too much
Ralkap an cawlcangh tikah ṭih an nung ngai	when the soldiers move about, they are dangerous
Cengceh in meiṭil a ceh	he catches a living coal with a pair of tongs
Ka hreitlung in thing a cek	he splitted woods with my ax
A zun aa ceh	he wets his pants
Cehrep in ka sam a ka meh	she cut my hair with scissors
Ni nih ka mit a ka cerh	the sun dazzles my eyes
Na dahmei nih a ka ceuh lo	your flashlight does not give me enough light
Na lei cha hlah	do not stick out your tongue
An ṭhut nak an i chaang	they sit next to one another/ they exhange seat
Thawhṭhan nak caah changvut an deng	they are pounding sticky rice for Easter
Bia an chah cang	they have made the decision
Hri na chahnak khan peh ṭhan	join the rope where you broke it off
A lei a ka chak	he sticks out his tongue at me (in contempt)
A cil a ka chak	he spits on me (to show his contempt of me)
Bia a rak ka chalh i kan i si	he came to confront me over (something), and we quarreled
Leiba ka va cham ta lai	I am going to go and pay back my debt
Ka leiba ka cham dih cang	I have paid all my debt
Kan chambau tuk tikah nun a fawi lo	it is quite hard to live when we are too poor
Chantling lo in ih cu a har pah ko	it is quite hard to sleep without pillow
Buh a ka chap	he gives me more rice
Thingthei ka char lioah thing nge nih a ka tlaak	a branch fell on me while I was picking fruits
Man a manh duh lo caah an buai ngai	because he did not want to pay marriage price they had some problem
An khua lam cu chawh nak a ṭha lo	their village road is not very good for walking
Kei ka caah cun chawhnawn par bantuk in naa dawh	as for me you are as beautiful as 'chawhnawn' flower
Ṭhal a chuak i chawl an ṭil	leaves are falling as summer appears
Tuzing ah ka hawipa nih telephone in a ka chonh	my friend called me over the telephone this morning
Chai in vate ka cheih hna	I shot birds with a sling shot
Hna an chet tuk caah ca ka zoh kho lo	I cannot study since they were too noisy
Ni chiar in sianginn ka kai	I attend school every day
Midang chiat na serh hna lai lo	you shall not curse other
A bia kaa chingchiah kho lo	I cannot remember what he said
Tuah hlah ti mi khi tuah a duh chinchin	he would like to do more what is forbidden
Lam ah an i chok sawh sawh	they just walked on the road
Mithla nih nizaan ah ka ke a ka dawh	A ghost pull my legs yesterday
Cawek hi dawm ṭha bik a si	cow dung is the best manure
Vanpang ah a kai i a taw in an domh	He climbs the wall and they support him by pushing his buttocks
Faphir an si i an i lo ngai	they look similar beacuse they are twins
Favai cu vok rawl caah an hman	they use chaff for pig's food
Kumfatin voikhat tal cu ra ka tlawng mu	Please visit me at least once a year
Kawm kha ar fah hna	feeds the chicken with corn
Inn cu a hram a feh awk a si	The foundation of the house must be firm
Ka TV ka remh piak ti fial kan duh	I want to ask you to repair my TV
Lung aa chuih i a ketin aa hawk dih	he kicked a stone and his nail all peeled off
Amah cu ka hawi a si	he is a friend of mine
A nu nih a fate a hawh	a mother teases her child
Ka namte a haar tuk caah a hman a nuam	my small knife is so sharp that it is convenient to use it
A nupi a ham tuk theng lo	he is not that jealous of his wife
Mileng tamtuk kan ngei i kan rawl a dih viar	since we have too many visitors our foods are gone
Kan ram ah daihnak um ko seh	Let there be peace in our country
Thaizing len lai kaa ngaih tuk	I am very excited to go out tomorrow
Na nu nih nizaan ah na thil aa hruk.	Your mom wore your cloth yesterday
Rianṭuan nak ah ka ṭuan hawi ka khawnsual.	I injured my work associate at work
Biakinn ah ka kal lai	I am going to church
Ka dam lo i rian ka tuan kho lai lo	I will not be able to work because i am sick
Khual ka tlawng lai	I am going to travel
Inn kaa kha rak hrenh te	lock the door when you leave
Kaa din lai	I will rest
Minu a mah pilawng a ṭap	the woman cry alone
Hngakchia nute a tlau	A young girl is lost
Holh lo in umnak nawl na ngei.	You have the right to remain silent
Biachimpiaktu sihni hlannak nawl na ngei.	You have the right to have an attorney.
Zei bantuk palhnak silo le nawlbuarnak dah a si?	What was the type of offense or incident?
Khoi kaa hmunhma te ah dah a cang?	What was the specific location of the incident?
Zei tikte ah dah hi thil hi a cang?	When exactly did the incident take place?
Na mawtaw cu an fir maw an hrawk?	Was your vehicle stolen or vandalized?
Na mawtaw hi zeizat man dah a si?	What was the value of the vehicle?
Acangmi van ṭial.	Please describe the incident
Zumh mi minung theih a si cang maw?	Has the suspect been identified?
Zumh mi minung hi zei bantuk dah a si?	Could you describe the suspect?
Zei bantuk sualnak dah na kan theihter duh?	What kind of crime would you like to report?
Anmah tazacuai na duh maw?	Do you want to press charges?
Midang aa tal mi an um maw?	Were there any other parties involved?
Mit in a hmu tu midang tehte kan lak lai.	We are going to collect eye-witness testimonies.
A cang mi thil vialte kong ṭial viar.	Write here all the details of the incident.
A cang hnu ah zei dah na tuah?	What actions did you take after the incident?
Biaceihnak zung ah na kal a hau lai.	You will have to appear in court.
Biaceihnak zung ah tehte na khaan kho lai maw?	Can you testify in court?
A cang mi cu zei bantuk dah a si?	What was the nature of the incident?
Palik nih ka chawn hna seh ti na duh maw?	Do you want the police to get in touch with you?
Zei bantuk nih dah mah hi a cang ter?	What factors led to the incident?
Aa khawng mi an um maw?	Was anyone injured?
Sizung lei in zohkhenh mi an um maw?	Was medical treatment provided?
Ka sihni khoi ka ah dah a um?	Where is my lawyer?
Zumhmi minung kan tlaih cang.	We have arrested a suspect.
Kei mah lawng nih ka nunnak kaa thleng khawh.	Only I can change my life.
Ar a si.	it's a chicken
Zoh khih!	Look at that!
Hniang hrawmnak cabuai a um	there's a picnic table
Hi ka hin na ṭhut ter khawh hna	You can sit some people down here
Na chuakter kho maw?	can you take him out?
Mawtaw cit na huam maw?	do you want to go for a ride? (car)
Hngakchia pawl he mawtaw an i cit lai	he's going to go for a ride with the children (car)
Chinku hmai ah mawtaw a mawng	she drives the car in front of Chinku
Mipa te a um	there's a little boy
Thingkuang chung a van banh	She reached into the box
Rawl ei ah kan kal hnga maw?	shall we go eat?
Rawl ei ah kal sih	let's go eat
Uico cu rawl a ei hmasa lai	the dog is going to eat first
Hngakchia nu te a ra hih	here comes the little girl
Kha kaa chung ah khan zei dah a um?	what's in there?
Khoi ka ah dah a kal?	where does it go?
Awnem tein a holh	she spoke very softly.
Kuang hi kan thianh hnga maw?	shall we clean the box?
Thingtum hi na ka pong piak kho maw?	will you stack the blocks for me?
Inn sangpi sak aa tim nain a tlu	she started building a tower but it fell
Zei dah na chim?	what did you say?
Ar a laak i a nu a pek.	she picked up the chicken and held it out to her mother.
Mawtaw lei a sawh	she pointed to the car
An lawi lai maw?	are they going to leave?
Khoi ka ah dah midang cu an kal?	where did others went?
Pakhat in na caw ṭhan kho maw?	can you buy another one?
Ihnak ah kal na duh maw?	do you want to go to bed?
Hngakchia kha na it ter kho maw?	can you put the baby to bed?
Mawtaw ralring tein an chek	they examined the car carefully
Mipa cu ṭhudan ah a ṭhu	A man is sitting in the chair
A dang zei dah kan ngeih ti?	what else do we have?
Cabuai kam ah ṭhu hna sih	let seat around the table.
Cabuai ah kan ei hnga maw?	should we eat at the table?
Zei dah tuah seh ti na ka duh?	what do you want me to do?
Hlei kan kai hnga maw?	should we climb the ladder?
Hngakchia pate hi zoh hmanh	look at this little boy!
Hlei na kai kho maw?	can you climb the ladder?
Zei ruangah dah hlei na kai ter lo?	why don't you let him climb the ladder?
Tanglei a sawh	she pointed to the ground
Achung ah kan chia kho maw	can we put this inside?
Ka nu nih innchung ah a chiah lai	Mom is going to put this inside the house.
A ṭha ko lo maw?	isn't that good?
Hi vial lawng maw an si?	are those all the people?
Uico a si maw?	is that a dog?
Zei zungkhar ni dah a si?	what holiday is today?
Khoi ka tal ah Thangthang na hmu maw?	do you see Thangthang anywhere?
Innkaa pakhat deuh kha ong	Try the other door.
Khakha cu an har tuk	Those are very hard.
Hngakchia te nih a nu a nih	the baby smiled at her mother.
Innkaa in lut	Enter through that door.
Hngakchiapa a lung a buai	The boy was frustrated.
Bawm chung a zoh	She looked inside the box
Bawm chung a banh	she reached inside the box
A lenglei in zoh	Look on the outside.
Khoi ka ah dah bawlung cu a um?	Where is the ball?
Na hmuh cang	You found it.
Khoi ka ah dah na kal?	Where did you go?
Zei dah na hmuh?	What did you find?
Ka pa inn ah a um	Dad is at home.
Innsang pi kan sa kho hnga maw	Let's see if we can build a tower.
Innsang pi tlu lo ding in tlai.	Try to prevent the tower from falling.
Inn sangpi a tlu ṭhan	The tower fell again.
Innka na ong kho maw?	Can you open the door?
Phaisa cu phaisabawm ah a chiah	She put the money in a wallet.
Ar nih zei aw dah a chuah?	What sound does a chicken make?
Kha kha pei ar nih cun a chim cu	That's what the chickens say.
Uico pahnih an ngei	They have two dogs.
Hngakchia nih innkhan ah bawlung a chiah	The child put a ball in a room
Ihkhun a ngan pi a ngei	He has a big bed.
Peng cu zungput ah a lut	Peng went into the restroom.
Chikhat te ah a ra ṭhan lai	He'll be back in a few minutes.
Hi bantuk tete hi na hmu dih maw?	Did you see all of these little things?
Hihi ka pi a si	This is my grandma.
Midang hi ṭhudan na pe kho hna maw?	Can you give the people chairs to sit on?
Ṭhudan na hmu kho maw?	Can you find a chair?
Nungak nu cu ṭhudan ah a ṭhu	The lady sat on a chair.
Tunu he hin lente kan i calh hnga maw?	Should we play with dolls?
Bawm hi a cung lei in kan ong lai lo	We are not going to open the box from the top.
Bawm kha tang ah chia	Put down the box.
Khuat tampi kan ngei	We have many cups.
Zei bantuk lentecalhnak he dah i calh na duh?	Which toys do you want to play with?
Chimbu khoi ka ah dah a um?	Where is the owl?
Nangmah tein na tuah kho maw?	Can you do it by yourself?
Khoi ka ah dah hlei na chiah?	Where did you put the ladder?
Hi hlei cu a kiak	This ladder is broken.
Hlei kha inn lei ah hngauh	Lean the ladder against the house.
Hi ka hin hlei chia	Put the ladder here.
Khoi ka ah dah ar an um?	Where are the chickens?
Khoi ka ah dah ar an it?	Where do the chickens sleep?
Tuni na thawh khawh in zei dah na tuah?	What did you do after you woke up this morning?
